##Checked genes Ensembl
##date=20/5/2021
##Gene stable ID	HGNC symbol	Transcript_stable_ID
AT3G53500	RS2Z32	AT3G53500.2
AT5G59790		AT5G59790.1
AT5G19730	PME53	AT5G19730.1
AT2G07190		AT2G07190.1
AT2G48110	MED33B	AT2G48110.1
AT4G15690	GRXS5	AT4G15690.1
AT3G52940	FK	AT3G52940.1
AT5G13700	PAO1	AT5G13700.1
AT4G39810	NEN4	AT4G39810.1
AT3G62380		AT3G62380.1
AT5G40600		AT5G40600.1
AT5G18190		AT5G18190.2
AT3G03970	SINE2	AT3G03970.6
AT4G32820		AT4G32820.2
AT1G19690		AT1G19690.1
AT2G03680	SPR1	AT2G03680.2
AT1G12410	CLPR2	AT1G12410.1
AT4G29930	BHLH27	AT4G29930.3
AT5G61890	ERF114	AT5G61890.1
AT1G75590		AT1G75590.1
AT5G65613		AT5G65613.1
AT3G44485		AT3G44485.1
AT3G22730		AT3G22730.1
AT3G58280		AT3G58280.1
AT4G02830		AT4G02830.1
AT3G19630		AT3G19630.1
AT1G01040	DCL1	AT1G01040.2
AT4G15740		AT4G15740.1
AT4G38650		AT4G38650.1
AT5G23510		AT5G23510.2
AT3G27400		AT3G27400.2
AT1G06020		AT1G06020.1
AT2G17390	AKR2B	AT2G17390.1
AT1G08710	SKIP24	AT1G08710.2
AT3G20370		AT3G20370.1
AT3G61800		AT3G61800.1
ATCG01070	NDHE	ATCG01070.1
AT1G28570		AT1G28570.1
AT1G57570	JAL14	AT1G57570.1
AT4G13150		AT4G13150.1
AT3G04910	WNK1	AT3G04910.1
AT4G18372		AT4G18372.1
AT2G32310		AT2G32310.1
AT3G53232	RTFL1	AT3G53232.1
AT5G47420		AT5G47420.1
AT1G32440	PKP3	AT1G32440.1
AT3G18180		AT3G18180.1
AT3G27430	PBB1	AT3G27430.2
AT5G21900		AT5G21900.1
AT4G15390		AT4G15390.1
AT3G23727	SCRL12	AT3G23727.1
AT4G04020	PAP1	AT4G04020.1
AT4G37610	BT5	AT4G37610.1
AT1G76800		AT1G76800.1
AT5G60010	RBOHH	AT5G60010.1
AT1G76180	ERD14	AT1G76180.1
AT5G43060	RD21B	AT5G43060.1
AT1G35910	TPPD	AT1G35910.1
AT5G42860		AT5G42860.1
AT1G07380		AT1G07380.2
AT2G18850		AT2G18850.1
AT2G02880		AT2G02880.1
AT2G03010		AT2G03010.1
AT5G43110	APUM14	AT5G43110.1
AT5G13510	RPL10	AT5G13510.1
AT4G22495		AT4G22495.1
AT1G49180		AT1G49180.1
AT4G30510	ATG18B	AT4G30510.1
AT5G50680	SAE1B-2	AT5G50680.1
AT4G01780		AT4G01780.1
AT3G55170	RPL35C	AT3G55170.1
AT3G14362	DVL19	AT3G14362.1
AT4G36390		AT4G36390.1
AT1G11250	SYP125	AT1G11250.1
AT3G01310		AT3G01310.1
AT1G14240	APY3	AT1G14240.4
AT2G34360	DTX15	AT2G34360.1
AT5G17980		AT5G17980.1
AT4G01037	WTF1	AT4G01037.1
AT1G61560	MLO6	AT1G61560.1
AT2G43530	ATTI3	AT2G43530.1
AT4G32760		AT4G32760.2
AT3G51980		AT3G51980.1
AT5G08570		AT5G08570.3
AT3G20070	TTN9	AT3G20070.1
AT3G30230		AT3G30230.1
AT5G43660		AT5G43660.1
AT1G49480	REM19	AT1G49480.2
AT3G63290		AT3G63290.1
AT5G27380	GSH2	AT5G27380.1
AT1G25420		AT1G25420.1
AT1G50460	HKL1	AT1G50460.1
AT1G42615		AT1G42615.1
AT2G42880	MPK20	AT2G42880.1
AT3G26860	SPH23	AT3G26860.2
AT1G27070	PTST2	AT1G27070.1
AT5G26760		AT5G26760.2
AT1G47220	CYCA3-3	AT1G47220.1
AT1G02920	GSTF7	AT1G02920.1
AT1G80510	AVT6E	AT1G80510.1
AT3G16680		AT3G16680.1
AT5G25320	ACR2	AT5G25320.1
AT4G34420		AT4G34420.1
AT2G30430		AT2G30430.1
AT4G35580	NTL9	AT4G35580.2
AT5G12850		AT5G12850.1
AT1G60989	SCRL7	AT1G60989.1
AT1G27690		AT1G27690.1
AT1G35625	RMR6	AT1G35625.1
AT4G34345		AT4G34345.1
AT1G67360		AT1G67360.2
AT4G16957		AT4G16957.1
AT1G24210		AT1G24210.1
AT5G22210		AT5G22210.2
AT5G46270		AT5G46270.4
AT1G16820		AT1G16820.1
AT1G74120	MTERF15	AT1G74120.1
AT5G11270	OCP3	AT5G11270.1
AT5G03080	LPPG	AT5G03080.1
AT2G31450	NTH1	AT2G31450.1
AT2G37540		AT2G37540.1
AT3G49840		AT3G49840.2
AT5G17167		AT5G17167.1
AT5G14450		AT5G14450.1
AT5G46720		AT5G46720.1
AT3G06030	ANP3	AT3G06030.1
AT5G65580		AT5G65580.1
AT1G33340		AT1G33340.1
AT1G68370	ATJ15	AT1G68370.1
AT2G05635		AT2G05635.1
AT4G31196		AT4G31196.1
AT4G24280	HSP70-6	AT4G24280.1
AT4G24080	ALL1	AT4G24080.1
AT3G25800	PP2AA2	AT3G25800.3
AT1G11593		AT1G11593.1
AT3G20880	WIP4	AT3G20880.1
AT4G19010	4CLL6	AT4G19010.1
AT5G07560	GRP20	AT5G07560.1
AT1G30230		AT1G30230.2
AT5G54290	CcdA	AT5G54290.2
AT3G14590	NTMC2TYPE6.2	AT3G14590.2
AT4G20235	CYP71A28	AT4G20235.1
AT4G05190	KIN14D	AT4G05190.1
AT2G46375		AT2G46375.1
AT2G47550	PME20	AT2G47550.1
AT2G27470	NF-YB11	AT2G27470.1
AT2G43070	SPPL3	AT2G43070.4
AT1G33930	IAN6	AT1G33930.1
AT4G39960		AT4G39960.1
AT2G05830		AT2G05830.1
AT4G29890		AT4G29890.1
AT1G68060	MAP70.1	AT1G68060.1
AT2G46880	PAP14	AT2G46880.1
AT1G64000	WRKY56	AT1G64000.1
AT5G53440		AT5G53440.1
AT5G06510	NFYA10	AT5G06510.2
AT4G31715		AT4G31715.1
AT1G02620		AT1G02620.1
AT3G04320		AT3G04320.2
AT1G58070		AT1G58070.1
AT3G20720		AT3G20720.2
AT5G22220	E2FB	AT5G22220.2
AT1G27720	TAF4	AT1G27720.1
AT1G74410	ATL24	AT1G74410.1
AT5G57490	VDAC4	AT5G57490.1
AT5G30495		AT5G30495.2
AT3G42940		AT3G42940.1
AT1G13200		AT1G13200.1
AT2G45190	YAB1	AT2G45190.1
AT1G07070	RPL35AA	AT1G07070.1
AT4G00005		AT4G00005.1
AT5G37660	CRRSP60	AT5G37660.2
AT1G24625	ZFP7	AT1G24625.1
AT2G34540		AT2G34540.2
AT2G47410		AT2G47410.5
AT2G46240	BAG6	AT2G46240.1
AT5G35732		AT5G35732.2
AT3G25090		AT3G25090.1
AT4G27740		AT4G27740.1
AT5G56300	GAMT2	AT5G56300.1
AT2G42840	PDF1	AT2G42840.1
AT3G09850		AT3G09850.1
AT2G17905		AT2G17905.1
AT5G63225		AT5G63225.1
AT1G16960		AT1G16960.1
AT1G19120	LSM1A	AT1G19120.1
AT1G80210	BRCC36A	AT1G80210.1
AT5G01700		AT5G01700.2
AT2G47160	BOR1	AT2G47160.2
AT4G21460		AT4G21460.2
AT4G32120	HPGT2	AT4G32120.1
AT3G58580	CCR4-2	AT3G58580.1
AT3G17465	RPL3B	AT3G17465.1
AT5G47780	GAUT4	AT5G47780.1
AT1G62490		AT1G62490.1
AT2G33190		AT2G33190.1
AT1G61420		AT1G61420.2
AT2G13370	CHR5	AT2G13370.2
AT5G59690		AT5G59690.1
AT5G50420	OFUT36	AT5G50420.1
AT1G19550		AT1G19550.1
AT4G27160	AT2S3	AT4G27160.1
AT4G25810	XTH23	AT4G25810.1
AT5G02290	PBL11	AT5G02290.1
AT5G43950		AT5G43950.1
AT1G70560	TAA1	AT1G70560.1
AT1G32170	XTH30	AT1G32170.1
AT5G39660	CDF2	AT5G39660.1
AT1G25530		AT1G25530.1
AT2G13810	ALD1	AT2G13810.1
AT4G14358		AT4G14358.1
AT5G47610	ATL79	AT5G47610.1
AT5G67430		AT5G67430.1
AT2G20870		AT2G20870.1
AT4G12850		AT4G12850.1
AT5G50130		AT5G50130.1
AT1G70530	CRK3	AT1G70530.1
AT3G20610		AT3G20610.1
AT3G20050	CCT1	AT3G20050.1
AT5G64180		AT5G64180.1
AT2G35340	MEE29	AT2G35340.1
AT2G42920	PCMP-E75	AT2G42920.1
AT5G55840		AT5G55840.2
AT2G19360		AT2G19360.1
AT1G51090		AT1G51090.1
AT2G33370	RPL23A	AT2G33370.1
AT5G60600	ISPG	AT5G60600.1
AT2G40850	PI4KG1	AT2G40850.1
AT5G08150	SOB5	AT5G08150.1
AT5G47440		AT5G47440.1
AT1G58235		AT1G58235.2
AT5G24170		AT5G24170.1
AT1G17590	NFYA8	AT1G17590.3
AT2G23050	NPY4	AT2G23050.1
AT5G37130		AT5G37130.1
AT2G23230		AT2G23230.2
AT2G26210		AT2G26210.4
AT1G22120		AT1G22120.1
AT4G13360		AT4G13360.1
AT4G30620		AT4G30620.1
AT2G48130		AT2G48130.4
AT5G58420	RPS4D	AT5G58420.1
AT3G17590	BSH	AT3G17590.2
AT1G70060	SNL4	AT1G70060.2
AT1G76955		AT1G76955.1
AT3G60270		AT3G60270.1
AT3G62070		AT3G62070.1
AT1G10220		AT1G10220.2
AT5G55855	SUMO7	AT5G55855.2
AT1G11770		AT1G11770.1
AT5G55000	FIP2	AT5G55000.2
AT4G01023		AT4G01023.2
AT4G32535		AT4G32535.1
AT4G38380	DTX45	AT4G38380.2
AT4G18990	XTH29	AT4G18990.1
AT2G29490	GSTU1	AT2G29490.1
AT5G24460		AT5G24460.1
AT3G21320		AT3G21320.1
AT5G60090		AT5G60090.1
AT3G45570		AT3G45570.1
AT1G80990		AT1G80990.1
AT5G01820	CIPK14	AT5G01820.1
AT1G30510	RFNR2	AT1G30510.2
AT5G22760		AT5G22760.1
AT2G13105		AT2G13105.1
AT1G10520	POLL	AT1G10520.1
AT1G15330	PV42A	AT1G15330.1
AT5G62980	FOLB2	AT5G62980.2
AT4G24370		AT4G24370.1
AT5G25430	BOR6	AT5G25430.1
AT5G62110		AT5G62110.1
AT2G19340		AT2G19340.1
AT5G66770	SCL4	AT5G66770.1
AT5G35790	G6PD1	AT5G35790.1
AT2G02730		AT2G02730.1
AT4G33400		AT4G33400.1
AT3G49980		AT3G49980.2
AT4G01030	PCMP-H65	AT4G01030.1
AT1G18780		AT1G18780.1
AT4G37830		AT4G37830.3
AT3G29455		AT3G29455.1
AT1G12180		AT1G12180.1
AT1G01660		AT1G01660.2
AT2G36870	XTH32	AT2G36870.1
AT4G19250		AT4G19250.1
AT5G38344		AT5G38344.1
AT4G01520	anac067	AT4G01520.1
AT4G01730	PAT18	AT4G01730.1
AT2G27840	HDT4	AT2G27840.3
AT5G41050		AT5G41050.1
AT2G24520	AHA5	AT2G24520.2
AT1G70880		AT1G70880.1
AT4G25660		AT4G25660.1
AT1G28540		AT1G28540.1
AT1G06560		AT1G06560.1
AT2G47610	RPL7AA	AT2G47610.1
AT5G12043		AT5G12043.1
AT1G15885		AT1G15885.1
AT5G54400		AT5G54400.1
AT5G15890	TBL21	AT5G15890.1
AT5G09840		AT5G09840.1
AT5G17570		AT5G17570.1
AT4G40060	ATHB-16	AT4G40060.1
AT5G17220	GSTF12	AT5G17220.1
AT4G19925		AT4G19925.1
AT3G23960		AT3G23960.1
AT1G23440		AT1G23440.1
AT5G54745	DEGP15	AT5G54745.1
AT1G03990	FAO1	AT1G03990.1
AT3G09800		AT3G09800.6
AT1G12940	NRT2.5	AT1G12940.1
AT5G41150	UVH1	AT5G41150.1
AT3G25165	RALFL25	AT3G25165.1
AT5G61790	CNX1	AT5G61790.1
AT4G31020		AT4G31020.2
AT3G07500		AT3G07500.1
AT4G30140	CDEF1	AT4G30140.1
AT5G01720	FBL3	AT5G01720.1
AT4G04745		AT4G04745.1
AT3G48750	CDKA-1	AT3G48750.1
AT3G60700		AT3G60700.1
AT5G55580	MTERF9	AT5G55580.1
AT1G75190		AT1G75190.1
AT4G27870		AT4G27870.2
AT1G33090	DTX22	AT1G33090.1
AT1G77060		AT1G77060.1
AT1G21910	ERF012	AT1G21910.1
AT1G65110		AT1G65110.2
AT3G27510		AT3G27510.1
AT4G03610		AT4G03610.4
AT5G23220	NIC3	AT5G23220.1
AT2G44590	DRP1D	AT2G44590.3
AT5G16170		AT5G16170.1
AT4G26010		AT4G26010.2
AT5G03940	FFC	AT5G03940.1
AT4G12330	CYP706A7	AT4G12330.1
AT1G71030	ATMYBL2	AT1G71030.1
AT4G36070	CPK18	AT4G36070.2
AT5G10460		AT5G10460.1
AT5G65500		AT5G65500.2
AT1G13220	LINC2	AT1G13220.3
AT3G07600	HIPP16	AT3G07600.1
AT1G12960	RPL27AA	AT1G12960.1
AT1G65360	AGL23	AT1G65360.1
AT5G39590		AT5G39590.1
AT5G16630	RAD4	AT5G16630.2
AT1G20960	BRR2A	AT1G20960.1
AT1G32200	ATS1	AT1G32200.2
AT1G74080	MYB122	AT1G74080.1
AT3G24535		AT3G24535.1
AT5G39040	ABCB27	AT5G39040.1
AT4G02900		AT4G02900.1
AT4G18720		AT4G18720.1
AT5G60610		AT5G60610.1
AT3G04190		AT3G04190.1
AT4G25990	CIL	AT4G25990.2
AT5G53460	GLT1	AT5G53460.1
AT1G72580		AT1G72580.1
AT3G07290		AT3G07290.1
AT5G55660		AT5G55660.1
AT1G03680	ATHM1	AT1G03680.1
AT1G52730		AT1G52730.1
AT2G18960	AHA1	AT2G18960.1
AT5G62510		AT5G62510.1
AT2G39518		AT2G39518.1
AT1G67480		AT1G67480.1
AT4G15560	DXS	AT4G15560.1
AT1G80150		AT1G80150.1
AT4G12620	ORC1B	AT4G12620.1
AT5G44120	CRA1	AT5G44120.3
AT3G48930	RPS11A	AT3G48930.1
AT1G13600	AtbZIP58	AT1G13600.1
AT2G17030	SKIP23	AT2G17030.1
AT3G29020	MYB110	AT3G29020.2
AT5G40670		AT5G40670.1
AT5G49130	DTX55	AT5G49130.1
AT1G34010		AT1G34010.2
AT1G74110	CYP78A10	AT1G74110.1
AT5G15390		AT5G15390.1
AT2G23840		AT2G23840.1
AT1G42710		AT1G42710.1
AT5G41720		AT5G41720.1
AT1G10570	ULP1C	AT1G10570.1
AT1G06190		AT1G06190.5
AT1G56418		AT1G56418.2
AT3G57270	BG1	AT3G57270.1
AT1G53120		AT1G53120.1
AT3G54230	SUA	AT3G54230.2
AT5G57790		AT5G57790.1
AT4G34260	FUC95A	AT4G34260.1
AT4G01050	TROL	AT4G01050.2
AT3G46100	ATHRS1	AT3G46100.1
AT1G69800		AT1G69800.2
AT1G49680		AT1G49680.1
AT2G40480		AT2G40480.1
AT2G25680	MOT1	AT2G25680.1
AT3G56340	RPS26C	AT3G56340.1
AT3G60720	PDLP8	AT3G60720.3
AT1G59723		AT1G59723.1
AT4G04350	EMB2369	AT4G04350.1
AT1G20920	RH42	AT1G20920.3
AT5G65205		AT5G65205.1
AT1G19920	APS2	AT1G19920.1
AT1G45332	MEFG1	AT1G45332.1
AT4G37140	MES20	AT4G37140.1
AT4G21190	EMB1417	AT4G21190.1
AT2G14765		AT2G14765.1
AT4G35420	TKPR1	AT4G35420.1
AT5G19500		AT5G19500.1
AT1G48960		AT1G48960.1
AT3G10510		AT3G10510.1
AT3G60360	EDA14	AT3G60360.1
AT1G77110	PIN6	AT1G77110.1
AT5G02260	EXPA9	AT5G02260.1
AT2G14835		AT2G14835.2
AT2G42290		AT2G42290.1
AT3G51895	SULTR3;1	AT3G51895.2
AT4G39220	RER1A	AT4G39220.2
AT5G13710	SMT1	AT5G13710.1
AT3G04880	DRT102	AT3G04880.1
AT5G20350	PAT24	AT5G20350.1
AT5G01060		AT5G01060.1
AT1G07610	MT1C	AT1G07610.1
AT3G62320		AT3G62320.1
AT5G12270		AT5G12270.1
AT3G60460	DUO1	AT3G60460.1
AT2G15000		AT2G15000.7
AT5G42280		AT5G42280.1
AT5G12020	HSP17.6	AT5G12020.1
AT3G43503		AT3G43503.1
AT2G06005	FIP1	AT2G06005.1
AT2G28590	PBL6	AT2G28590.1
AT3G01560		AT3G01560.1
AT5G35930		AT5G35930.4
AT2G37000	TCP11	AT2G37000.1
AT1G79960	OFP14	AT1G79960.1
AT5G08391		AT5G08391.1
AT3G53870	RPS3B	AT3G53870.1
AT1G34160	PCMP-H68	AT1G34160.1
AT5G07260		AT5G07260.1
AT2G35470		AT2G35470.1
AT2G35612	CEP4	AT2G35612.1
AT4G16370	ATOPT3	AT4G16370.1
AT3G08910		AT3G08910.1
AT1G14820		AT1G14820.3
AT3G53980		AT3G53980.1
AT2G40650	PRP38	AT2G40650.1
AT1G70840	MLP31	AT1G70840.1
AT4G32208		AT4G32208.1
AT3G09810	IDH6	AT3G09810.1
AT4G08360		AT4G08360.1
AT1G58340	DTX48	AT1G58340.1
AT5G12140	CYS1	AT5G12140.1
AT1G79130	SAUR40	AT1G79130.1
AT5G35960		AT5G35960.1
AT3G04170		AT3G04170.1
AT4G33390	WEL1	AT4G33390.1
AT2G31040	CGL160	AT2G31040.1
AT3G19310		AT3G19310.1
AT3G26410	TRM11	AT3G26410.1
AT1G55050		AT1G55050.2
AT5G55520		AT5G55520.1
AT5G02270	ATNAP9	AT5G02270.2
AT1G17650	GLYR2	AT1G17650.1
AT4G31210		AT4G31210.1
AT3G08670		AT3G08670.1
AT2G26865		AT2G26865.1
AT4G10440		AT4G10440.1
AT2G37090	IRX9	AT2G37090.1
AT1G73875	CCR4-5	AT1G73875.1
AT3G53305	CYP71B32	AT3G53305.1
AT5G58890	AGL82	AT5G58890.1
AT4G08140		AT4G08140.1
AT3G22700		AT3G22700.1
AT4G11110	SPA2	AT4G11110.1
AT1G36675		AT1G36675.1
AT1G35540	ARF14	AT1G35540.1
AT5G65920	PUB31	AT5G65920.1
AT4G24740	AFC2	AT4G24740.1
AT3G47910		AT3G47910.2
AT5G44270		AT5G44270.1
AT5G50040		AT5G50040.1
AT5G39900		AT5G39900.1
AT5G10220	ANN6	AT5G10220.1
AT2G43580		AT2G43580.1
AT1G48530		AT1G48530.1
AT3G54130		AT3G54130.1
AT1G80820	CCR2	AT1G80820.1
AT1G73965	CLE13	AT1G73965.1
AT1G13540		AT1G13540.1
AT3G51650		AT3G51650.4
AT1G18470		AT1G18470.1
AT1G55520	TBP2	AT1G55520.1
AT5G50120		AT5G50120.1
AT1G04920	SPS3	AT1G04920.1
AT1G73030	CHMP1B	AT1G73030.1
AT5G38860	BIM3	AT5G38860.1
AT5G23212		AT5G23212.1
AT5G46180	DELTA-OAT	AT5G46180.1
AT2G39980		AT2G39980.1
AT5G22650	HDT2	AT5G22650.1
AT4G03050	AOP3	AT4G03050.2
AT2G34710	ATHB-14	AT2G34710.1
AT4G31470		AT4G31470.1
AT5G01640	PRA1B5	AT5G01640.1
AT1G66250		AT1G66250.1
AT1G55673		AT1G55673.1
AT2G35140		AT2G35140.6
AT3G49320		AT3G49320.1
AT2G27720		AT2G27720.2
AT1G11860		AT1G11860.3
AT1G63870		AT1G63870.1
AT4G36700		AT4G36700.1
AT3G53060	ASK6	AT3G53060.1
AT5G48175		AT5G48175.1
AT3G20450		AT3G20450.1
AT5G19020	PCMP-E42	AT5G19020.1
AT4G14030	SBP1	AT4G14030.1
AT3G54170	FIP37	AT3G54170.1
AT4G13850	RBG2	AT4G13850.1
AT3G18060	AIP1-2	AT3G18060.1
AT1G48430		AT1G48430.1
AT4G10480		AT4G10480.1
AT2G38840		AT2G38840.1
AT3G55640		AT3G55640.4
AT5G16740	AVT1H	AT5G16740.1
AT1G28690	PCMP-E34	AT1G28690.1
AT3G22300	RPS10	AT3G22300.1
AT1G51540		AT1G51540.1
AT5G12280		AT5G12280.1
AT5G07030		AT5G07030.1
AT1G11362		AT1G11362.1
AT3G17717		AT3G17717.1
AT1G17400		AT1G17400.2
AT2G15029		AT2G15029.1
AT1G20330	SMT2	AT1G20330.1
AT2G42030		AT2G42030.1
AT1G48145		AT1G48145.1
AT1G54575		AT1G54575.2
AT5G15640		AT5G15640.1
AT3G29152		AT3G29152.1
AT3G23300		AT3G23300.1
AT2G37180	PIP2-3	AT2G37180.1
AT5G19100		AT5G19100.1
AT1G19890	MGH3	AT1G19890.1
AT1G26110	DCP5	AT1G26110.1
AT1G66390	MYB90	AT1G66390.1
AT2G01080		AT2G01080.1
AT1G15980	PNSB1	AT1G15980.1
AT1G68520	COL6	AT1G68520.1
AT1G27595		AT1G27595.1
AT1G17560	HLL	AT1G17560.1
AT2G24950		AT2G24950.1
AT2G18876		AT2G18876.1
AT3G02070		AT3G02070.2
AT2G30060	RANBP1B	AT2G30060.1
AT4G18905		AT4G18905.2
AT2G10556		AT2G10556.1
AT5G53780		AT5G53780.1
AT1G15660	CENP-C	AT1G15660.1
AT1G07940	A1	AT1G07940.3
AT4G23220	CRK14	AT4G23220.1
AT5G03430		AT5G03430.1
AT2G41870	REM4.2	AT2G41870.1
AT5G26830	THRRS	AT5G26830.1
AT5G46600	ALMT13	AT5G46600.1
AT1G18290		AT1G18290.1
AT2G28315	UXT1	AT2G28315.1
AT5G12980		AT5G12980.1
AT2G13760		AT2G13760.1
AT5G22350	ELM1	AT5G22350.1
AT4G01240		AT4G01240.1
AT1G24420		AT1G24420.1
AT3G55530	SDIR1	AT3G55530.1
AT5G12370	SEC10a	AT5G12370.2
AT5G38520		AT5G38520.2
AT1G48830	RPS7A	AT1G48830.1
AT1G04430		AT1G04430.1
AT5G18240	MYR1	AT5G18240.1
AT5G38850		AT5G38850.1
AT3G56890		AT3G56890.1
AT3G60328		AT3G60328.1
AT1G27190		AT1G27190.1
AT3G53020	RPL24B	AT3G53020.1
AT5G10870	CM2	AT5G10870.1
AT3G52790		AT3G52790.1
AT5G34829		AT5G34829.1
AT1G30090		AT1G30090.1
AT2G22930	UGT79B8	AT2G22930.1
AT3G23930		AT3G23930.1
AT5G50920	CLPC1	AT5G50920.1
AT1G19640	JMT	AT1G19640.1
AT4G24010	CSLG1	AT4G24010.1
AT3G26830	CYP71B15	AT3G26830.1
AT3G50570		AT3G50570.2
AT2G02280	PP2B4	AT2G02280.1
AT2G35890	CPK25	AT2G35890.2
AT1G12010		AT1G12010.1
AT1G49260		AT1G49260.1
AT1G35490		AT1G35490.1
AT1G51220	WIP5	AT1G51220.1
AT5G62060		AT5G62060.1
AT1G31335		AT1G31335.1
AT2G31945		AT2G31945.1
AT5G17190		AT5G17190.1
AT1G13560	AAPT1	AT1G13560.1
AT5G24480		AT5G24480.1
AT2G26870	NPC2	AT2G26870.1
AT2G39660	BIK1	AT2G39660.1
AT1G73870	COL7	AT1G73870.1
AT4G28890	ATL42	AT4G28890.1
AT3G59700	LECRK55	AT3G59700.1
AT5G02430		AT5G02430.1
AT2G43500		AT2G43500.4
AT3G45110		AT3G45110.1
AT2G36810	SGR6	AT2G36810.1
AT5G39471		AT5G39471.1
AT5G01780		AT5G01780.2
AT4G17880	MYC4	AT4G17880.1
AT1G27460	NPGR1	AT1G27460.1
AT5G28690		AT5G28690.2
AT5G20170	MED17	AT5G20170.1
AT3G25960		AT3G25960.1
AT1G62840		AT1G62840.1
AT1G15970		AT1G15970.1
AT3G53400		AT3G53400.1
AT1G62280	SLAH1	AT1G62280.1
AT3G43960	RDL3	AT3G43960.1
AT2G32670	VAMP725	AT2G32670.1
AT4G31280		AT4G31280.1
AT3G04903		AT3G04903.1
AT1G28130	GH3.17	AT1G28130.1
AT5G51630		AT5G51630.1
AT4G05050	UBQ11	AT4G05050.2
AT1G02300	CATHB1	AT1G02300.1
AT3G24050	GATA1	AT3G24050.1
AT3G21770	PER30	AT3G21770.1
AT4G22050		AT4G22050.1
AT4G24231		AT4G24231.1
AT1G60430	ARPC3	AT1G60430.2
AT3G17120		AT3G17120.3
AT3G18957		AT3G18957.1
AT1G14140	PUMP3	AT1G14140.1
AT5G07920	DGK1	AT5G07920.1
AT3G06270		AT3G06270.1
AT4G35540	PTF2	AT4G35540.1
AT5G65750		AT5G65750.1
AT4G36050	APE2	AT4G36050.2
AT3G43260		AT3G43260.1
AT3G44630		AT3G44630.3
AT3G27580	D6PKL3	AT3G27580.1
AT2G19810		AT2G19810.1
AT3G47730	ABCA2	AT3G47730.1
AT5G15040		AT5G15040.2
AT1G78370	GSTU20	AT1G78370.1
AT2G21840		AT2G21840.1
AT5G24060		AT5G24060.2
AT5G25250	FLOT1	AT5G25250.1
AT2G39020		AT2G39020.1
AT1G68390		AT1G68390.1
AT5G64930	CPR5	AT5G64930.1
AT4G32920		AT4G32920.1
AT4G00170	PVA13	AT4G00170.1
AT4G15360	CYP705A3	AT4G15360.1
AT5G39220		AT5G39220.1
AT1G51820		AT1G51820.1
AT5G17660		AT5G17660.1
AT1G10900	PIP5K7	AT1G10900.2
AT5G09350	PI4KB2	AT5G09350.1
AT2G30230		AT2G30230.1
AT1G66420		AT1G66420.1
AT4G39675		AT4G39675.1
AT4G31130		AT4G31130.1
AT1G28695		AT1G28695.1
AT2G19000		AT2G19000.1
AT1G26390	FOX2	AT1G26390.1
AT1G18730	PNSB4	AT1G18730.1
AT3G26855		AT3G26855.1
AT4G02733		AT4G02733.1
AT1G14680		AT1G14680.1
AT2G44850		AT2G44850.1
AT1G66220	SBT3.17	AT1G66220.1
AT2G17060		AT2G17060.1
AT5G09750	HEC3	AT5G09750.1
AT2G48010	RKF3	AT2G48010.1
AT5G53300	UBC10	AT5G53300.1
AT1G06350		AT1G06350.1
AT3G03776		AT3G03776.2
AT2G28850	CYP710A3	AT2G28850.1
AT4G17570	GATA26	AT4G17570.2
AT4G14860	OFP11	AT4G14860.1
AT2G23010	SCPL9	AT2G23010.1
AT5G48543	LCR1	AT5G48543.1
AT3G04770	RPSAb	AT3G04770.1
AT2G18590		AT2G18590.1
AT2G37740	ZFP10	AT2G37740.1
AT3G18670		AT3G18670.2
AT1G67000	LRK10L-2.8	AT1G67000.1
AT4G20290		AT4G20290.1
AT2G19700		AT2G19700.1
AT4G27000	RBP45C	AT4G27000.1
AT2G14860		AT2G14860.1
AT5G40610	DHAPRD	AT5G40610.1
AT4G28100		AT4G28100.1
AT5G66500	PCMP-E38	AT5G66500.1
AT1G32360		AT1G32360.1
AT2G39380	ATEXO70H2	AT2G39380.1
AT5G57970		AT5G57970.2
AT1G23660		AT1G23660.1
AT3G05870	APC11	AT3G05870.5
AT4G12930		AT4G12930.1
AT5G20160		AT5G20160.2
AT4G38100	CURT1D	AT4G38100.1
AT2G42570	TBL39	AT2G42570.1
AT1G72160	PATL3	AT1G72160.1
AT4G16990	RLM3	AT4G16990.7
AT1G43020		AT1G43020.1
AT4G35660		AT4G35660.1
AT3G52620		AT3G52620.1
AT4G18870		AT4G18870.1
AT1G61105		AT1G61105.1
AT2G04038	AtbZIP48	AT2G04038.1
AT3G44240	CAF1-8	AT3G44240.1
AT5G21990	OEP61	AT5G21990.1
AT1G50500	HIT1	AT1G50500.2
AT1G13870	KTI12	AT1G13870.1
AT1G21470		AT1G21470.1
AT5G27830		AT5G27830.4
AT3G60900	FLA10	AT3G60900.1
AT2G02635		AT2G02635.1
AT4G11050	AtGH9C3	AT4G11050.1
AT2G23470	RUS4	AT2G23470.1
AT5G66540		AT5G66540.1
AT1G73590	PIN1	AT1G73590.1
AT2G44610	RABH1B	AT2G44610.1
AT1G55420	EDA11	AT1G55420.1
AT2G17705		AT2G17705.1
AT3G58790	GAUT15	AT3G58790.1
AT4G03170		AT4G03170.1
AT3G58570	RH52	AT3G58570.1
AT5G63720	KPL	AT5G63720.1
AT4G16130	ARA1	AT4G16130.1
AT3G05500		AT3G05500.1
AT4G28750	PSAE1	AT4G28750.1
AT1G20600		AT1G20600.1
AT1G14755		AT1G14755.1
